File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000001.jpg,1344,756,3.1943,0.0338,1.6397,0.58,0.0553,2.3088,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000002.jpg,1344,756,3.2353,0.0318,1.7347,0.589,0.0549,2.4105,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000003.jpg,1344,756,3.2142,0.0346,1.6847,0.3857,0.0546,2.1596,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000004.jpg,1344,756,3.268,0.0322,1.6046,0.569,0.0538,2.2597,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000005.jpg,1344,756,3.2367,0.0348,1.6646,0.2047,0.0553,1.9595,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000006.jpg,1344,756,3.1978,0.034,1.8169,0.1948,0.0543,2.1,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000007.jpg,1344,756,3.2595,0.0335,1.6239,0.1968,0.0553,1.9096,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000008.jpg,1344,756,3.2165,0.0318,1.6517,0.373,0.0546,2.1113,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000009.jpg,1344,756,3.2521,0.0314,1.6502,0.2056,0.056,1.9433,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000010.jpg,1344,756,3.2175,0.0326,1.7169,0.1973,0.0574,2.0043,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000011.jpg,1344,756,3.2515,0.0364,1.7491,0.0004,0.057,1.8429,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000012.jpg,1344,756,3.2656,0.0322,1.6419,0.0004,0.0545,1.729,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000013.jpg,1344,756,3.2928,0.0346,1.7486,0.1962,0.0546,2.0341,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000014.jpg,1344,756,3.2083,0.0347,1.7303,0.0005,0.0581,1.8235,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000015.jpg,1344,756,3.3741,0.0338,1.7118,0.0005,0.0574,1.8036,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000016.jpg,1344,756,3.3759,0.0341,1.7174,0.2128,0.0574,2.0217,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000017.jpg,1344,756,3.301,0.0319,1.6886,0.6115,0.0594,2.3915,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000018.jpg,1344,756,3.0981,0.0328,1.6692,0.1937,0.0529,1.9486,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000019.jpg,1344,756,3.2507,0.0319,1.812,0.0004,0.0535,1.8979,0,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000363_00001_v/0000020.jpg,1344,756,3.2348,0.0339,1.698,0.0004,0.0536,1.786,0,0
