File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000001.jpg,1344,756,3.2446,0.0274,1.6562,1.2167,0.0001,2.9005,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000002.jpg,1344,756,3.217,0.0285,1.6934,1.2315,0.0001,2.9536,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000003.jpg,1344,756,3.1527,0.0273,1.6522,1.6088,0.0001,3.2885,8,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000004.jpg,1344,756,3.1686,0.0272,1.5984,1.8283,0.0001,3.4541,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000005.jpg,1344,756,3.1708,0.0294,1.6652,1.6729,0.0001,3.3676,8,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000006.jpg,1344,756,3.2625,0.028,1.6509,2.0713,0.0001,3.7504,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000007.jpg,1344,756,3.2982,0.0291,1.7062,1.6639,0.0001,3.3993,8,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000008.jpg,1344,756,3.2444,0.0294,1.6541,1.8754,0.0001,3.5591,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000009.jpg,1344,756,3.3142,0.0301,1.7135,2.1192,0.0001,3.8629,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000010.jpg,1344,756,3.2909,0.0286,1.6425,1.8803,0.0001,3.5516,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000011.jpg,1344,756,3.1769,0.0283,1.6996,1.2673,0.0001,2.9954,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000012.jpg,1344,756,3.3316,0.0287,1.714,1.4857,0.0001,3.2286,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000013.jpg,1344,756,3.2446,0.029,1.6249,1.8476,0.0001,3.5017,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000014.jpg,1344,756,3.2337,0.0283,1.7038,1.9042,0.0001,3.6365,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000015.jpg,1344,756,3.3619,0.0286,1.6767,1.2818,0.0001,2.9872,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000016.jpg,1344,756,3.2877,0.0285,1.6822,1.8844,0.0001,3.5953,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000017.jpg,1344,756,3.3387,0.0286,1.633,1.2721,0.0001,2.9338,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000018.jpg,1344,756,3.064,0.027,1.6509,1.4744,0.0001,3.1524,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000019.jpg,1344,756,3.2719,0.0297,1.7082,1.4819,0.0001,3.2198,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000020.jpg,1344,756,3.4127,0.0299,1.6912,1.465,0.0001,3.1863,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000021.jpg,1344,756,3.2533,0.0272,1.6828,1.6837,0.0002,3.394,8,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000022.jpg,1344,756,3.2304,0.0281,1.6951,1.2527,0.0002,2.9763,6,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000023.jpg,1344,756,3.0434,0.0285,1.6808,1.4749,0.0002,3.1844,7,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000024.jpg,1344,756,3.2554,0.0302,1.6808,1.4798,0.0002,3.191,7,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000025.jpg,1344,756,3.3253,0.0284,1.6718,1.283,0.0001,2.9834,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000026.jpg,1344,756,3.3358,0.0284,1.7004,1.7045,0.0002,3.4336,8,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000027.jpg,1344,756,3.3212,0.0297,1.7257,2.1468,0.0002,3.9024,10,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000028.jpg,1344,756,3.2769,0.0285,1.7218,1.2552,0.0003,3.0059,6,2
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000029.jpg,1344,756,3.2614,0.0315,1.6821,1.0652,0.0002,2.779,5,1
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000030.jpg,1344,756,3.193,0.0286,1.649,1.4678,0.0001,3.1455,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000031.jpg,1344,756,3.2905,0.0293,1.6895,1.7099,0.0003,3.429,8,2
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000032.jpg,1344,756,3.3484,0.0284,1.7379,1.6931,0.0003,3.4597,8,2
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000033.jpg,1344,756,3.3846,0.0293,1.6786,1.9595,0.0001,3.6675,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000034.jpg,1344,756,3.2955,0.0287,1.6489,2.0873,0.0001,3.7651,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000035.jpg,1344,756,3.2333,0.0283,1.6872,2.2918,0.0001,4.0074,11,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000036.jpg,1344,756,3.1105,0.0286,1.6713,2.1201,0.0001,3.8201,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000013_01073_v/0000037.jpg,1344,756,3.1503,0.0286,1.6631,2.297,0.0001,3.9888,11,0
