File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000001.jpg,1904,1071,3.1557,0.0611,1.6055,0.8188,0.11,2.5955,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000002.jpg,1904,1071,3.2368,0.0598,1.8381,0.8721,0.1147,2.8848,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000003.jpg,1904,1071,3.3311,0.0611,1.6254,0.2733,0.1093,2.0692,1,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000004.jpg,1904,1071,3.1909,0.0598,1.6037,0.5656,0.1177,2.3469,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000005.jpg,1904,1071,3.149,0.0621,1.6702,1.1003,0.1137,2.9463,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000006.jpg,1904,1071,3.3174,0.0649,1.6378,0.8131,0.1096,2.6256,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000007.jpg,1904,1071,3.1697,0.059,1.6448,0.5552,0.1104,2.3694,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000008.jpg,1904,1071,3.2552,0.0581,1.6063,0.5498,0.1135,2.3278,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000009.jpg,1904,1071,3.2298,0.0637,1.6676,1.3564,0.1093,3.197,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000010.jpg,1904,1071,3.1742,0.0592,1.8188,1.8202,0.1126,3.8108,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000011.jpg,1904,1071,3.205,0.0594,1.6421,1.6646,0.118,3.4842,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000012.jpg,1904,1071,3.1106,0.0608,1.6875,1.6834,0.1092,3.5411,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000013.jpg,1904,1071,3.2922,0.0588,1.6562,1.4122,0.1181,3.2454,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000014.jpg,1904,1071,3.1336,0.0586,1.7439,1.144,0.1121,3.0587,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000015.jpg,1904,1071,3.2716,0.058,1.6268,1.664,0.112,3.4609,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000016.jpg,1904,1071,3.2073,0.0636,1.8666,1.4285,0.112,3.4708,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000017.jpg,1904,1071,3.24,0.0587,1.6876,1.409,0.1176,3.273,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000018.jpg,1904,1071,3.2508,0.064,1.7248,1.1316,0.1187,3.0392,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000019.jpg,1904,1071,3.376,0.067,1.6805,0.5529,0.1082,2.4086,2,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000020.jpg,1904,1071,3.2582,0.0649,1.7314,0.8436,0.1127,2.7527,3,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000021.jpg,1904,1071,3.28,0.0578,1.6995,1.3818,0.1114,3.2506,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000022.jpg,1904,1071,3.3568,0.0623,1.6802,1.728,0.1133,3.5839,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000023.jpg,1904,1071,3.1526,0.063,1.6486,1.6307,0.1157,3.4581,6,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000024.jpg,1904,1071,3.2668,0.0588,1.729,3.1737,0.1098,5.0712,6,1
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000025.jpg,1904,1071,3.3267,0.0577,1.6158,1.4564,0.1116,3.2415,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000026.jpg,1904,1071,3.2431,0.0597,1.6561,1.388,0.1076,3.2115,5,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000027.jpg,1904,1071,3.2222,0.0602,1.7304,1.1658,0.1115,3.068,4,0
/usr/local/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000028.jpg,1904,1071,3.1839,0.0646,1.6867,3.2825,0.1124,5.1462,6,1
