File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000001.jpg,1904,1071,3.2409,0.0568,1.6453,2.09,0.0001,3.7922,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000002.jpg,1904,1071,3.264,0.0545,1.6532,1.9585,0.0001,3.6663,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000003.jpg,1904,1071,3.2422,0.0563,1.6111,2.0734,0.0001,3.741,7,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000004.jpg,1904,1071,3.3815,0.0561,1.6927,2.3925,0.0001,4.1415,8,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000005.jpg,1904,1071,3.2766,0.055,1.7294,3.0199,0.0001,4.8044,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000006.jpg,1904,1071,3.2774,0.0552,1.6685,2.6754,0.0001,4.3993,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000007.jpg,1904,1071,3.3508,0.055,1.6993,2.6703,0.0001,4.4248,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000008.jpg,1904,1071,3.3556,0.0558,1.69,2.695,0.0001,4.441,9,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000009.jpg,1904,1071,3.1869,0.0545,1.6496,2.9699,0.0001,4.6741,10,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000329_04715_v/0000010.jpg,1904,1071,3.1737,0.0563,1.7543,2.6519,0.0001,4.4626,9,0
