File_Name,img_width,img_height,library_loading_time,F1:pre-processing(s),F2:object_detection(s),F3:face_detection(s),F4:face_DB_storage(s),total processing time(s),people_detected,faces_detected
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000001.jpg,1904,1071,3.294,0.0588,1.6795,0.9197,0.0001,2.6583,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000002.jpg,1904,1071,3.5033,0.0611,1.6901,0.8884,0.0001,2.6398,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000003.jpg,1904,1071,3.1854,0.0599,1.6716,0.2951,0.0001,2.0268,1,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000004.jpg,1904,1071,3.2101,0.0579,1.6913,0.5694,0.0001,2.3187,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000005.jpg,1904,1071,3.1461,0.0606,1.6715,1.1321,0.0001,2.8644,4,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000006.jpg,1904,1071,3.312,0.0593,1.6372,0.8605,0.0001,2.5571,3,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000007.jpg,1904,1071,3.3282,0.0597,1.6354,0.5702,0.0001,2.2655,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000008.jpg,1904,1071,3.3445,0.063,1.6534,0.5466,0.0001,2.2632,2,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000009.jpg,1904,1071,3.216,0.0636,1.6713,1.511,0.0001,3.2459,5,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000010.jpg,1904,1071,3.187,0.0609,1.6976,1.7563,0.0001,3.5149,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000011.jpg,1904,1071,3.2686,0.0599,1.7031,1.7425,0.0001,3.5056,6,0
/usr/local/Face_Recognition_Files/Face_Recognition_Files/VisDrone2019-VID-train/sequences/uav0000352_05980_v/0000012.jpg,1904,1071,3.3344,0.0602,1.6861,1.7742,0.0001,3.5208,6,0
